Wavelength	Ellip23 RT	Ellip25 RT	Ellip38 RT	Ellip62 RT	Ellip23	Ellip25	Ellip38	Ellip62
207.5	-1177072.727	-1453296.296	-1372137.143	-976521.7391	-1377309.091	-1644944.444	-1294685.714	-1222086.957
207	-1104490.909	-1412296.296	-1316125.714	-891930.4348	-1355890.909	-1657990.741	-1252011.429	-1188921.739
206.5	-1039890.909	-1368101.852	-1260514.286	-792960	-1310309.091	-1654870.37	-1196205.714	-1134469.565
206	-973981.8182	-1345009.259	-1218445.714	-702029.5652	-1267800	-1637675.926	-1127713.143	-1068956.522
205.5	-875969.0909	-1281842.593	-1124013.714	-603219.1304	-1170409.091	-1597157.407	-1032926.857	-973069.5652
205	-774638.1818	-1201925.926	-1037309.714	-500553.0435	-1082127.273	-1541814.815	-980029.7143	-870582.6087
204.5	-656202.7273	-1121083.333	-944720	-376566.087	-976700	-1503388.889	-921301.7143	-757879.1304
204	-517703.6364	-1053814.815	-846320	-256152.1739	-872901.8182	-1449824.074	-815321.1429	-655860.8696
203.5	-381300	-973962.963	-743064	-91348.69565	-775900	-1411787.037	-722874.2857	-529079.1304
203	-228097.2727	-849727.7778	-603179.4286	63707.30435	-680077.2727	-1339074.074	-606851.4286	-417656.5217
202.5	-41443.27273	-709907.4074	-470784	257146.9565	-572891.8182	-1274861.111	-497771.4286	-308154.7826
202	123913.6364	-583653.7037	-359934.8571	430766.087	-428819.0909	-1185101.852	-401101.7143	-205900.8696
201.5	318992.7273	-430471.2963	-185680	627544.3478	-257410.9091	-1070333.333	-248812.5714	-59483.30435
201	523019.0909	-266268.5185	-14150.28571	817129.5652	-46041.81818	-924208.3333	-121906.2857	119557.3913
200.5	755645.4545	-73017.12963	206646.8571	1030078.261	141439.0909	-807676.8519	59294.51429	333440.8696
200	1000963.636	134179.6296	410075.4286	1217513.043	361047.2727	-686812.963	251532.5714	533802.6087
199.5	1206681.818	320789.8148	612566.8571	1364391.304	565470.9091	-522521.2963	444352	720645.2174
